anv_verb;diaz_verb;rummad;galleg;saozneg
#anv-verb10;halloudeg;d1;#galleg;#saozneg
#anv-verb11;hell;d1;#galleg;#saozneg
#anv-verb13;horellot;d1;#galleg;#saozneg
#anv-verb14;houll;d1;#galleg;#saozneg
#anv-verb15;houllonder;d1;#galleg;#saozneg
#anv-verb16;igor;d1;#galleg;#saozneg
#anv-verb2;fehe;d1;forme conditionnelle vannetaise du v. «gouzout»;#saozneg
#anv-verb21;neuer;d1;#galleg;#saozneg
#anv-verb22;ouarn;d1;#galleg;#saozneg
#anv-verb23;raksketidennadur;d1;#galleg;#saozneg
#anv-verb24;rollverv;d1;#galleg;#saozneg
#anv-verb25;skarinek;d1;#galleg;#saozneg
#anv-verb26;skingemmen;d1;#galleg;#saozneg
#anv-verb27;sklisafi;d1;#galleg;#saozneg
#anv-verb28;skoazellus;d1;#galleg;#saozneg
#anv-verb30;soupren;d1;surprendre;to surprise
#anv-verb6;gouskog;d1;#galleg;#saozneg
#anv-verb7;hall;d1;#galleg;#saozneg
#anv-verb8;halleg;d1;#galleg;#saozneg
#anv-verb9;hallegach;d1;#galleg;#saozneg
abafañ;abaf;d1;#galleg;#saozneg
abafiñ;abaf;d1;déconcerter, intimider;(to) disconcert, intimidate
abaisañ;abais;d1;ébahir;(to) astound
abandoniñ;abandon;d1;abandonner;(to) abandon
abardaeziñ;abardaez;d1;tomber (soir);to fall (night)
abechiñ;abech;d1;appâter;(to) entice, lure
abegal;abeg;d1;#galleg;#saozneg
abegiñ;abeg;d1;critiquer, reprocher;(to) criticize, reproach
abegout;abeg;d1;#galleg;#saozneg
abekiñ;abek;d1;#galleg;#saozneg
aberzhañ;aberzh;d1;#galleg;#saozneg
aberzhiñ;aberzh;d1;sacrifier;(to) sacrifice
abeuvriñ;abeuvr;d1;abreuver;(to) water
abeziñ;abez;d1;perdre la raison, devenir sot, rendre sot;(to) lose one's mind, go astray
abilat;abil;d1;#galleg;#saozneg
abilañ;abil;d1;actif, entreprenant, habile, s'aventurer;active, enterprising, (to) venture
abilhañ;abilh;d1;(s')habiller;(to) dress one's self
abilidañ;abilid;d1;toucher à tout, gaminer, s'occuper à des riens tout seul (enfants);(to) linger, procrastinate, dawdle by one's self (chidren)
abilitañ;abilit;d1;#galleg;#saozneg
abimañ;abim;d1;abimer, tomber dans une abime;(to) damage, wear down, to drop, to fall
abimiñ;abim;d1;#galleg;#saozneg
abitañ;abit;d1;habiter;(to) inhabit, live in
abondañ;abond;d1;abondance, abonder;abundance, abound
aboniñ;abon;d1;faire du crottin, crotter;(to) poop
abostoliñ;abostol;d1;apostoliciter, ordonner sous-diacre, ordonner, chanter l'épître, être nommé/promu sous-diacre, faire le chenapan, se comporter obséquieusement;(to) knight an apostle, knight a subdeacon, instruct, sing the epistle, to be nominated/promoted subdeacon, to show off, to be silly, to behave obsequiously, servilely
abourzhañ;abourzh;d1;abordage, aborder (un bateau, le rivage);boarding, (to) board (a boat, a shoreline)
abourzhiñ;abourzh;d1;#galleg;#saozneg
abraziñ;abraz;d1;(s')embraser, incendier (fig.) (qun);(to) ignite, flare up, catch fire
abrediñ;abred;d1;avancer (une horloge), arriver plus tôt;(to) move foward (a clock), arrive sooner
absantañ;absant;d1;#galleg;#saozneg
absantiñ;absant;d1;(s')absenter, partir d'un lieu;(to) leave
absolv;absolv;d1;#galleg;#saozneg
absolvañ;absolv;d1;#galleg;#saozneg
absolviñ;absolv;d1;donner l'absolution, pardoner les péchés;(to) give absolution, forgive the sins
absteniñ;absten;d1;#galleg;#saozneg
abstinañ;abstin;d1;abstinence, (s')abstenir, pratiquer l'abstinence;(to) abstain, refrain, exercise abstinence
abuziñ;abuz;d1;abuser, importuner, accaparer, distraire (qqn);(to) abuse, to bother, to corner, distract (someone)
ac'hubiñ;ac'hub;d1;occuper, encombrer;(to) occupy, obstruct
ac'huz;ac'huz;d1;accusation, accuser;accusation, (to) accuse
achantañ;achant;d1;enchanter, ensorceller, mettre sous charme (qqn);(to) enchant, charm, mesmerize (someone)
achap;achap;d1;(s')échapper, (s')évader;to escape
achapiñ;achap;d1;#galleg;#saozneg
acheviñ;achev;d1;(s')achever, (se) finir, (se) satisfaire (de);(to) perfect, complete, satisfy one's self
adaozañ;adaoz;d1;ajuster, rapiécer, réorganiser, refondre, recyclage, remanier, restaurer, retaper, ressasser, reformer;to: adjust, patch, reorganize, reform, redesign, recycle, change, modify, overhaul, restore, reform
adastenn;adastenn;d1;ré-etendre, ré-étendage, ré-extension, ré-allongement, ré-rallonger, reprolonger, re-tendre,;(to) re-extend
adazezañ;adazez;d1;(se) rassoir;(to) sit down
adc'henel;adc'han;d1;renaître;(to) reborn
adc'hervel;adc'halv;d1;rappeller, refaire appel, réappeller;recall
adc'hlazañ;adc'hlaz;d1;rebleuir, reverdir, redevenir poivre et sel, refranchir, reblémir;#saozneg
adc'hoari;adc'hoari;d1;rejouer, reprendre;replay
adc'houinañ;adc'houin;d1;remettre au fourreau (épée...), rengainer (épée...);#saozneg
adc'houlenn;adc'houlenn;d1;redemander, revouloir;to ask again, to want again
adc'hounit;adc'hounez;d1;regagner, reconquérir, cultiver de nouveau;to win again
adc'hwezañ;adc'hwez;d1;regonfler;to inflate again, to blow (something) up again
adc'hwezhañ;adc'hwezh;d1;resouffler, regonfler, retranspirer, repuer;to blow (something) up again, to inflate again
adchaokat;adchaok;d1;remâcher, remastiquer, recroquer, reblablater;(to) rehash, rechew, bite (again)
adcheñch;adcheñch;d1;rechanger;rechange
adcheñchañ;adcheñch;d1;rechanger;rechange
addastum;addastum;d1;ré-amasser, ramasser, re-récolter;to reaccumulate, to gather, pick up, to harvest again
addegas;addegas;d1;renvoyer, ramener;to send back, dismiss, to bring back
addelc'her;addalc'h;d1;#galleg;#saozneg
adderaouiñ;adderaou;d1;réinitialiser, recommencer, relancer (une machine), remettre à zéro (compteurs, valeurs...);to reinitialise, to restart (a machine), to reset (counters)
